1.0000E+02	2.0706E+05	1.5327E+05
8.5770E+01	2.1920E+05	1.4748E+05
7.3564E+01	2.1101E+05	1.4318E+05
6.3096E+01	1.9888E+05	1.3907E+05
5.4117E+01	1.8611E+05	1.3484E+05
4.6416E+01	1.7333E+05	1.3040E+05
3.9811E+01	1.6096E+05	1.2589E+05
3.4145E+01	1.4902E+05	1.2135E+05
2.9286E+01	1.3734E+05	1.1683E+05
2.5119E+01	1.2612E+05	1.1220E+05
2.1544E+01	1.1546E+05	1.0773E+05
1.8478E+01	1.0522E+05	1.0323E+05
1.5849E+01	9.5359E+04	9.8712E+04
1.3594E+01	8.5891E+04	9.4179E+04
1.1659E+01	7.6878E+04	8.9590E+04
1.0000E+01	6.8272E+04	8.4899E+04
8.5770E+00	6.0120E+04	8.0236E+04
7.3564E+00	5.2379E+04	7.5436E+04
6.3096E+00	4.5088E+04	7.0584E+04
5.4117E+00	3.8323E+04	6.5708E+04
4.6416E+00	3.2319E+04	6.0647E+04
3.9811E+00	2.6791E+04	5.5561E+04
3.4145E+00	2.1949E+04	5.0549E+04
2.9286E+00	1.7738E+04	4.5615E+04
2.5119E+00	1.4172E+04	4.0846E+04
2.1544E+00	1.1208E+04	3.6338E+04
1.8478E+00	8.7958E+03	3.2100E+04
1.5849E+00	6.8350E+03	2.8246E+04
1.3594E+00	5.2881E+03	2.4699E+04
1.1659E+00	4.0882E+03	2.1540E+04
1.0000E+00	3.1493E+03	1.8711E+04
8.5770E-01	2.4286E+03	1.6232E+04
7.3564E-01	1.8759E+03	1.4041E+04
6.3096E-01	1.4510E+03	1.2124E+04
5.4117E-01	1.1254E+03	1.0466E+04
4.6416E-01	8.7658E+02	9.0279E+03
3.9811E-01	6.7057E+02	7.7950E+03
3.4145E-01	5.4601E+02	6.7197E+03
2.9286E-01	4.2560E+02	5.7897E+03
2.5119E-01	3.6101E+02	4.9864E+03
2.1544E-01	2.6251E+02	4.2919E+03
1.8478E-01	1.8790E+02	3.7040E+03
1.5849E-01	1.4191E+02	3.1885E+03
1.3594E-01	1.3718E+02	2.7457E+03
1.1659E-01	1.0186E+02	2.3728E+03
